Chip2PinSM,Package Specifications,,,,,,,,,,,,,,,,Footprint Specifications,,,,,,,,,,
FootprintName,FootprintDescription,Lmin,Lmax,Wmin,Wmax,Tmin,Tmax,Amin,Amax,PackageType,PolarityPin,DensityLevel,JTmin,JHmin,JSmin,DrawingNote,Z,G,X,Y,C,A,B,R1,R2,V1,V2
,,1,1.1,0.48,0.6,0.1,0.3,,0.4,R,,N,,,,,,,,,,,,,,,
,,1.5,1.7,0.7,0.95,0.15,0.4,,0.6,R,,N,,,,,,,,,,,,,,,
,,1.85,2.15,1.1,1.4,0.15,0.65,,0.65,R,,N,,,,,,,,,,,,,,,
,,3.05,3.35,1.45,1.75,0.25,0.75,,0.71,R,,N,,,,,,,,,,,,,,,
,,3.05,3.35,2.34,2.64,0.25,0.75,,0.71,R,,N,,,,,,,,,,,,,,,
,,4.85,5.15,2.35,2.65,0.35,0.85,,0.71,R,,N,,,,,,,,,,,,,,,
,,6.15,6.45,3.05,3.35,0.35,0.85,,0.71,R,,N,,,,,,,,,,,,,,,
,,0.9,1.1,0.4,0.6,0.1,0.3,,0.6,C,,N,,,,,,,,,,,,,,,
,,1.02,1.32,0.77,1.27,0.13,0.38,,1.02,C,,N,,,,,,,,,,,,,,,
,,1.45,1.75,0.65,0.95,0.2,0.5,,0.85,C,,N,,,,,,,,,,,,,,,
,,1.8,2.2,1.05,1.45,0.25,0.75,,1.1,C,,N,,,,,,,,,,,,,,,
,,3,3.4,1.4,1.8,0.25,0.75,,1.35,C,,N,,,,,,,,,,,,,,,
,,3,3.4,2.3,2.7,0.25,0.75,,1.35,C,,N,,,,,,,,,,,,,,,
,,4.2,4.8,3,3.4,0.25,0.95,,1.35,C,,N,,,,,,,,,,,,,,,
,,4.2,4.8,6,6.8,0.25,0.95,,1.1,C,,N,,,,,,,,,,,,,,,
,,0.9,1.1,0.4,0.6,0.1,0.3,,0.6,I,,N,,,,,,,,,,,,,,,
,,1.45,1.75,0.65,0.95,0.2,0.5,,0.85,I,,N,,,,,,,,,,,,,,,
,,1.8,2.2,1.05,1.45,0.25,0.75,,1.1,I,,N,,,,,,,,,,,,,,,
,,1.7,2.3,0.6,1.2,0.1,0.3,,1.2,I,,N,,,,,,,,,,,,,,,
,,2.9,3.5,1.3,1.9,0.2,0.5,,1.9,I,,N,,,,,,,,,,,,,,,
,,4.2,4.8,0.6,1.2,0.3,0.8,,1.9,I,,N,,,,,,,,,,,,,,,
,,2.2,2.8,1.95,2.11,0.37,0.65,,2.29,I,,N,,,,,,,,,,,,,,,
,,2.9,3.5,1.4,1.8,0.5,1,,2,I,,N,,,,,,,,,,,,,,,
,,4.2,4.8,3,3.4,0.5,1,,2.8,I,,N,,,,,,,,,,,,,,,
,,4.35,4.95,2.46,2.62,0.51,0.77,,3.8,I,,N,,,,,,,,,,,,,,,
